,NAME,submission_date,avg_mobility
723151,Virginia,10/10/2020,0.4
723152,Virginia,10/11/2020,-15.2
723153,Virginia,10/12/2020,-20.2
723154,Virginia,10/13/2020,-5.4
723155,Virginia,10/14/2020,-4.4
723156,Virginia,10/15/2020,-2.8
723157,Virginia,10/16/2020,-13.8
723158,Virginia,10/17/2020,12.0
723159,Virginia,10/18/2020,4.6
723160,Virginia,10/19/2020,-8.6
723161,Virginia,10/20/2020,-2.6
723162,Virginia,10/21/2020,-4.8
723163,Virginia,10/22/2020,-4.2
723164,Virginia,10/23/2020,-2.4
723165,Virginia,10/24/2020,12.6
723166,Virginia,10/25/2020,-16.0
723167,Virginia,10/26/2020,-12.8
723168,Virginia,10/27/2020,-7.0
723169,Virginia,10/28/2020,-8.0
723170,Virginia,10/29/2020,-21.4
723171,Virginia,10/30/2020,-9.4
723172,Virginia,10/31/2020,5.2
723173,Virginia,11/01/2020,-14.2
723174,Virginia,11/02/2020,-17.4
723175,Virginia,11/03/2020,-4.4
723176,Virginia,11/04/2020,-13.4
723177,Virginia,11/05/2020,-11.0
723178,Virginia,11/06/2020,-9.6
723179,Virginia,11/07/2020,7.4
723180,Virginia,11/08/2020,2.2
723181,Virginia,11/09/2020,-12.8
723182,Virginia,11/10/2020,-6.4
723183,Virginia,11/11/2020,-22.2
723184,Virginia,11/12/2020,-26.2
723185,Virginia,11/13/2020,-12.6
723186,Virginia,11/14/2020,-0.2
723187,Virginia,11/15/2020,-8.8
723188,Virginia,11/16/2020,-15.6
723189,Virginia,11/17/2020,-15.4
723190,Virginia,11/18/2020,-17.6
723191,Virginia,11/19/2020,-16.6
723192,Virginia,11/20/2020,-12.0
723193,Virginia,11/21/2020,0.6
723194,Virginia,11/22/2020,-6.8
723195,Virginia,11/23/2020,-16.2
723196,Virginia,11/24/2020,-7.6
723197,Virginia,11/25/2020,-2.8
723198,Virginia,11/26/2020,-45.0
723199,Virginia,11/27/2020,-23.6
723200,Virginia,11/28/2020,-7.8
723201,Virginia,11/29/2020,-9.2
723202,Virginia,11/30/2020,-24.4
723203,Virginia,12/01/2020,-17.0
723204,Virginia,12/02/2020,-18.0
723205,Virginia,12/03/2020,-17.0
723206,Virginia,12/04/2020,-19.8
723207,Virginia,12/05/2020,-12.6
723208,Virginia,12/06/2020,-13.2
723209,Virginia,12/07/2020,-25.4
723210,Virginia,12/08/2020,-18.8
723211,Virginia,12/09/2020,-20.2
723212,Virginia,12/10/2020,-18.6
723213,Virginia,12/11/2020,-15.8
723214,Virginia,12/12/2020,-3.8
723215,Virginia,12/13/2020,-6.2
723216,Virginia,12/14/2020,-29.4
723217,Virginia,12/15/2020,-13.8
723218,Virginia,12/16/2020,-37.4
723219,Virginia,12/17/2020,-23.8
723220,Virginia,12/18/2020,-20.4
723221,Virginia,12/19/2020,-8.0
723222,Virginia,12/20/2020,-16.6
723223,Virginia,12/21/2020,-14.8
723224,Virginia,12/22/2020,-8.8
723225,Virginia,12/23/2020,-4.0
723226,Virginia,12/24/2020,-24.4
723227,Virginia,12/25/2020,-66.8
723228,Virginia,12/26/2020,-26.4
723229,Virginia,12/27/2020,-18.6
723230,Virginia,12/28/2020,-18.6
723231,Virginia,12/29/2020,-16.8
723232,Virginia,12/30/2020,-15.4
723233,Virginia,12/31/2020,-17.4
760654,Washington,02/15/2020,2.8
760655,Washington,02/16/2020,8.2
760656,Washington,02/17/2020,7.0
760657,Washington,02/18/2020,12.4
760658,Washington,02/19/2020,14.4
760659,Washington,02/20/2020,12.6
760660,Washington,02/21/2020,12.0
760661,Washington,02/22/2020,11.4
760662,Washington,02/23/2020,0.6
760663,Washington,02/24/2020,4.8
760664,Washington,02/25/2020,10.0
760665,Washington,02/26/2020,14.0
760666,Washington,02/27/2020,16.2
760667,Washington,02/28/2020,9.8
760668,Washington,02/29/2020,10.4
760669,Washington,03/01/2020,13.2
760670,Washington,03/02/2020,0.8
760671,Washington,03/03/2020,7.4
760672,Washington,03/04/2020,13.2
760673,Washington,03/05/2020,3.2
760674,Washington,03/06/2020,-1.4
760675,Washington,03/07/2020,1.8
760676,Washington,03/08/2020,7.2
760677,Washington,03/09/2020,6.2
760678,Washington,03/10/2020,3.4
760679,Washington,03/11/2020,5.8
760680,Washington,03/12/2020,3.8
760681,Washington,03/13/2020,-10.4
760682,Washington,03/14/2020,-7.6
760683,Washington,03/15/2020,-2.0
760684,Washington,03/16/2020,-1.2
760685,Washington,03/17/2020,-4.8
760686,Washington,03/18/2020,-0.8
760687,Washington,03/19/2020,-4.4
760688,Washington,03/20/2020,-5.4
760689,Washington,03/21/2020,-8.4
760690,Washington,03/22/2020,-19.6
760691,Washington,03/23/2020,-28.6
760692,Washington,03/24/2020,-31.6
760693,Washington,03/25/2020,-31.8
760694,Washington,03/26/2020,-40.0
760695,Washington,03/27/2020,-41.8
760696,Washington,03/28/2020,-40.6
760697,Washington,03/29/2020,-36.4
760698,Washington,03/30/2020,-42.0
760699,Washington,03/31/2020,-35.4
760700,Washington,04/01/2020,-29.6
760701,Washington,04/02/2020,-35.6
760702,Washington,04/03/2020,-37.8
760703,Washington,04/04/2020,-31.6
760704,Washington,04/05/2020,-35.2
760705,Washington,04/06/2020,-29.0
760706,Washington,04/07/2020,-26.4
760707,Washington,04/08/2020,-22.8
760708,Washington,04/09/2020,-23.2
760709,Washington,04/10/2020,-26.2
760710,Washington,04/11/2020,-29.0
760711,Washington,04/12/2020,-34.8
760712,Washington,04/13/2020,-30.0
760713,Washington,04/14/2020,-25.2
760714,Washington,04/15/2020,-23.4
760715,Washington,04/16/2020,-21.8
760716,Washington,04/17/2020,-26.2
760717,Washington,04/18/2020,-31.8
760718,Washington,04/19/2020,-24.2
760719,Washington,04/20/2020,-24.2
760720,Washington,04/21/2020,-29.2
760721,Washington,04/22/2020,-37.8
760722,Washington,04/23/2020,-31.8
760723,Washington,04/24/2020,-28.8
760724,Washington,04/25/2020,-27.0
760725,Washington,04/26/2020,-24.2
760726,Washington,04/27/2020,-28.4
760727,Washington,04/28/2020,-23.8
760728,Washington,04/29/2020,-22.4
760729,Washington,04/30/2020,-25.4
760730,Washington,05/01/2020,-19.4
760731,Washington,05/02/2020,-31.2
760732,Washington,05/03/2020,-21.8
760733,Washington,05/04/2020,-23.4
760734,Washington,05/05/2020,-8.4
760735,Washington,05/06/2020,-20.0
760736,Washington,05/07/2020,-9.6
760737,Washington,05/08/2020,-3.8
760738,Washington,05/09/2020,4.4
760739,Washington,05/10/2020,0.8
760740,Washington,05/11/2020,-22.6
760741,Washington,05/12/2020,-21.0
760742,Washington,05/13/2020,-14.4
760743,Washington,05/14/2020,-18.8
760744,Washington,05/15/2020,-9.4
760745,Washington,05/16/2020,-20.8
760746,Washington,05/17/2020,-12.0
760747,Washington,05/18/2020,-16.4
760748,Washington,05/19/2020,-13.4
760749,Washington,05/20/2020,-20.0
760750,Washington,05/21/2020,-20.6
760751,Washington,05/22/2020,-14.6
760752,Washington,05/23/2020,-1.4
760753,Washington,05/24/2020,3.0
760754,Washington,05/25/2020,-28.2
760755,Washington,05/26/2020,-7.2
760756,Washington,05/27/2020,3.0
760757,Washington,05/28/2020,-2.2
760758,Washington,05/29/2020,-0.8
760759,Washington,05/30/2020,-24.4
760760,Washington,05/31/2020,-11.6
760761,Washington,06/01/2020,-7.6
760762,Washington,06/02/2020,-9.4
760763,Washington,06/03/2020,-2.0
760764,Washington,06/04/2020,-4.8
760765,Washington,06/05/2020,-6.8
760766,Washington,06/06/2020,-3.4
760767,Washington,06/07/2020,-6.0
760768,Washington,06/08/2020,-12.2
760769,Washington,06/09/2020,-18.0
760770,Washington,06/10/2020,1.0
760771,Washington,06/11/2020,-4.4
760772,Washington,06/12/2020,-10.6
760773,Washington,06/13/2020,-5.2
760774,Washington,06/14/2020,3.8
760775,Washington,06/15/2020,-17.4
760776,Washington,06/16/2020,-0.6
760777,Washington,06/17/2020,7.0
760778,Washington,06/18/2020,9.4
760779,Washington,06/19/2020,9.4
760780,Washington,06/20/2020,3.6
760781,Washington,06/21/2020,9.2
760782,Washington,06/22/2020,5.6
760783,Washington,06/23/2020,10.8
760784,Washington,06/24/2020,5.6
760785,Washington,06/25/2020,9.6
760786,Washington,06/26/2020,7.0
760787,Washington,06/27/2020,-0.8
760788,Washington,06/28/2020,4.2
760789,Washington,06/29/2020,-0.4
760790,Washington,06/30/2020,-3.0
760791,Washington,07/01/2020,-2.0
760792,Washington,07/02/2020,5.2
760793,Washington,07/03/2020,10.0
760794,Washington,07/04/2020,9.8
760795,Washington,07/05/2020,9.0
760796,Washington,07/06/2020,1.4
760797,Washington,07/07/2020,-1.4
760798,Washington,07/08/2020,7.0
760799,Washington,07/09/2020,-1.2
760800,Washington,07/10/2020,9.2
760801,Washington,07/11/2020,10.2
760802,Washington,07/12/2020,7.6
760803,Washington,07/13/2020,5.4
760804,Washington,07/14/2020,14.2
760805,Washington,07/15/2020,16.6
760806,Washington,07/16/2020,5.0
760807,Washington,07/17/2020,2.8
